GeoFips,GeoName,LineCode,IndustryName
19000,Iowa,10,Real GDP by state: Utilities (22)
19000,Iowa,11,Real GDP by state: Construction (23)
19000,Iowa,12,Real GDP by state: Manufacturing (31-33)
19000,Iowa,13,"Real GDP by state: Durable goods manufacturing (321,327-339)"
19000,Iowa,2,Real GDP by state: Private industries
19000,Iowa,25,"Real GDP by state: Nondurable goods manufacturing (311-316,322-326)"
19000,Iowa,3,"Real GDP by state: Agriculture, forestry, fishing and hunting (11)"
19000,Iowa,34,Real GDP by state: Wholesale trade (42)
19000,Iowa,35,Real GDP by state: Retail trade (44-45)
19000,Iowa,36,Real GDP by state: Transportation and warehousing (48-49)
19000,Iowa,45,Real GDP by state: Information (51)
19000,Iowa,51,Real GDP by state: Finance and insurance (52)
19000,Iowa,56,Real GDP by state: Real estate and rental and leasing (53)
19000,Iowa,6,"Real GDP by state: Mining, quarrying, and oil and gas extraction (21)"
19000,Iowa,60,"Real GDP by state: Professional, scientific, and technical services (54)"
19000,Iowa,64,Real GDP by state: Management of companies and enterprises (55)
19000,Iowa,65,Real GDP by state: Administrative and support and waste management and remediation services (56)
19000,Iowa,69,Real GDP by state: Educational services (61)
19000,Iowa,70,Real GDP by state: Health care and social assistance (62)
19000,Iowa,76,"Real GDP by state: Arts, entertainment, and recreation (71)"
